session_key,meeting_key,driver_number,position
202312351,1235,31,3
202312351,1235,63,4
202312351,1235,20,5
202312351,1235,1,6
202312351,1235,55,7
202312351,1235,23,8
202312351,1235,10,9
202312351,1235,18,10
202312351,1235,14,11
202312351,1235,16,12
202312351,1235,12,13
202312351,1235,7,14
202312351,1235,5,15
202312351,1235,87,16
202312351,1235,44,17
202312351,1235,27,18
202312351,1235,30,19
202312351,1235,81,20
202312361,1236,31,1
202312361,1236,81,2
202312361,1236,20,3
202312361,1236,63,4
202312361,1236,55,5
202312361,1236,16,6
202312361,1236,27,7
202312361,1236,7,8
202312361,1236,44,9
202312361,1236,87,10
202312361,1236,23,11
202312361,1236,22,12
202312361,1236,18,13
202312361,1236,10,14
202312361,1236,1,15
202312361,1236,5,16
202312361,1236,30,17
202312361,1236,12,18
202312361,1236,14,19
202312361,1236,4,20
202312371,1237,16,1
202312371,1237,22,2
202312371,1237,87,3
202312371,1237,27,4
202312371,1237,12,5
202312371,1237,10,6
202312371,1237,63,7
202312371,1237,20,8
202312371,1237,1,9
202312371,1237,14,10
202312371,1237,44,11
202312371,1237,4,12
202312371,1237,55,13
202312371,1237,7,14
202312371,1237,23,15
202312371,1237,18,16
202312371,1237,5,17
202312371,1237,30,18
202312371,1237,31,19
202312371,1237,81,20
202312381,1238,20,1
202312381,1238,81,2
202312381,1238,5,3
202312381,1238,87,4
202312381,1238,44,5
202312381,1238,4,6
202312381,1238,18,7
202312381,1238,16,8
202312381,1238,12,9
202312381,1238,14,10
202312381,1238,27,11
202312381,1238,7,12
202312381,1238,30,13
202312381,1238,63,14
202312381,1238,31,15
202312381,1238,22,16
202312381,1238,1,17
202312381,1238,55,18
202312381,1238,10,19
202312381,1238,23,20
202312391,1239,20,1
202312391,1239,12,2
202312391,1239,63,3
202312391,1239,87,4
202312391,1239,44,5
202312391,1239,31,6
202312391,1239,5,7
202312391,1239,18,8
202312391,1239,23,9
202312391,1239,27,10
202312391,1239,1,11
202312391,1239,16,12
202312391,1239,30,13
202312391,1239,81,14
202312391,1239,14,15
202312391,1239,55,16
202312391,1239,4,17
202312391,1239,22,18
202312391,1239,10,19
202312391,1239,7,20
202312401,1240,23,1
202312401,1240,5,2
202312401,1240,4,3
202312401,1240,31,4
202312401,1240,18,5
202312401,1240,63,6
202312401,1240,16,7
202312401,1240,81,8
202312401,1240,44,9
202312401,1240,27,10
202312401,1240,10,11
202312401,1240,14,12
202312401,1240,22,13
202312401,1240,12,14
202312401,1240,55,15
202312401,1240,87,16
202312401,1240,1,17
202312401,1240,20,18
202312401,1240,7,19
202312401,1240,30,20
202312411,1241,18,1
202312411,1241,27,2
202312411,1241,12,3
202312411,1241,10,4
202312411,1241,55,5
202312411,1241,5,6
202312411,1241,44,7
202312411,1241,4,8
202312411,1241,22,9
202312411,1241,1,10
202312411,1241,81,11
202312411,1241,23,12
202312411,1241,87,13
202312411,1241,31,14
202312411,1241,14,15
202312411,1241,20,16
202312411,1241,63,17
202312411,1241,7,18
202312411,1241,16,19
202312411,1241,30,20
202312421,1242,31,1
202312421,1242,87,2
202312421,1242,16,3
202312421,1242,30,4
202312421,1242,14,5
202312421,1242,63,6
202312421,1242,20,7
202312421,1242,44,8
202312421,1242,55,9
202312421,1242,7,10
202312421,1242,10,11
202312421,1242,18,12
202312421,1242,4,13
202312421,1242,23,14
202312421,1242,1,15
202312421,1242,22,16
202312421,1242,27,17
202312421,1242,12,18
202312421,1242,81,19
202312421,1242,5,20
202312431,1243,63,1
202312431,1243,81,2
202312431,1243,20,3
202312431,1243,10,4
202312431,1243,30,5
202312431,1243,31,6
202312431,1243,87,7
202312431,1243,22,8
202312431,1243,7,9
202312431,1243,55,10
202312431,1243,4,11
202312431,1243,27,12
202312431,1243,12,13
202312431,1243,16,14
202312431,1243,44,15
202312431,1243,5,16
202312431,1243,23,17
202312431,1243,1,18
202312431,1243,18,19
202312431,1243,14,20
202312441,1244,30,1
202312441,1244,1,2
202312441,1244,22,3
202312441,1244,55,4
202312441,1244,63,5
202312441,1244,20,6
202312441,1244,12,7
202312441,1244,5,8
202312441,1244,87,9
202312441,1244,44,10
202312441,1244,16,11
202312441,1244,23,12
202312441,1244,4,13
202312441,1244,27,14
202312441,1244,18,15
202312441,1244,31,16
202312441,1244,7,17
202312441,1244,81,18
202312441,1244,14,19
202312441,1244,10,20
202312451,1245,22,1
202312451,1245,30,2
202312451,1245,20,3
202312451,1245,63,4
202312451,1245,12,5
202312451,1245,87,6
202312451,1245,7,7
202312451,1245,55,8
202312451,1245,5,9
202312451,1245,27,10
202312451,1245,10,11
202312451,1245,23,12
202312451,1245,18,13
202312451,1245,14,14
202312451,1245,4,15
202312451,1245,81,16
202312451,1245,44,17
202312451,1245,31,18
202312451,1245,16,19
202312451,1245,1,20
202312461,1246,10,1
202312461,1246,81,2
202312461,1246,1,3
202312461,1246,31,4
202312461,1246,12,5
202312461,1246,22,6
202312461,1246,44,7
202312461,1246,14,8
202312461,1246,18,9
202312461,1246,87,10
202312461,1246,63,11
202312461,1246,27,12
202312461,1246,20,13
202312461,1246,23,14
202312461,1246,30,15
202312461,1246,55,16
202312461,1246,4,17
202312461,1246,7,18
202312461,1246,5,19
202312461,1246,16,20
202312471,1247,31,1
202312471,1247,63,2
202312471,1247,4,3
202312471,1247,10,4
202312471,1247,14,5
202312471,1247,1,6
202312471,1247,55,7
202312471,1247,12,8
202312471,1247,23,9
202312471,1247,7,10
202312471,1247,16,11
202312471,1247,81,12
202312471,1247,87,13
202312471,1247,27,14
202312471,1247,44,15
202312471,1247,20,16
202312471,1247,5,17
202312471,1247,30,18
202312471,1247,22,19
202312471,1247,18,20
202312481,1248,63,1
202312481,1248,30,2
202312481,1248,20,3
202312481,1248,87,4
202312481,1248,22,5
202312481,1248,10,6
202312481,1248,31,7
202312481,1248,4,8
202312481,1248,81,9
202312481,1248,18,10
202312481,1248,55,11
202312481,1248,12,12
202312481,1248,1,13
202312481,1248,27,14
202312481,1248,7,15
202312481,1248,44,16
202312481,1248,14,17
202312481,1248,16,18
202312481,1248,23,19
202312481,1248,5,20
202312501,1250,12,1
202312501,1250,23,2
202312501,1250,31,3
202312501,1250,5,4
202312501,1250,87,5
202312501,1250,44,6
202312501,1250,10,7
202312501,1250,20,8
202312501,1250,1,9
202312501,1250,27,10
202312501,1250,7,11
202312501,1250,63,12
202312501,1250,4,13
202312501,1250,30,14
202312501,1250,55,15
202312501,1250,14,16
202312501,1250,22,17
202312501,1250,16,18
202312501,1250,18,19
202312501,1250,81,20
202312511,1251,81,1
202312511,1251,12,2
202312511,1251,1,3
202312511,1251,87,4
202312511,1251,63,5
202312511,1251,4,6
202312511,1251,14,7
202312511,1251,20,8
202312511,1251,44,9
202312511,1251,27,10
202312511,1251,55,11
202312511,1251,16,12
202312511,1251,31,13
202312511,1251,23,14
202312511,1251,7,15
202312511,1251,10,16
202312511,1251,30,17
202312511,1251,5,18
202312511,1251,18,19
202312511,1251,22,20
202312521,1252,87,1
202312521,1252,14,2
202312521,1252,55,3
202312521,1252,63,4
202312521,1252,30,5
202312521,1252,7,6
202312521,1252,18,7
202312521,1252,1,8
202312521,1252,16,9
202312521,1252,81,10
202312521,1252,23,11
202312521,1252,27,12
202312521,1252,22,13
202312521,1252,10,14
202312521,1252,12,15
202312521,1252,31,16
202312521,1252,5,17
202312521,1252,44,18
202312521,1252,4,19
202312521,1252,20,20
202312531,1253,10,1
202312531,1253,14,2
202312531,1253,81,3
202312531,1253,22,4
202312531,1253,5,5
202312531,1253,55,6
202312531,1253,1,7
202312531,1253,16,8
202312531,1253,12,9
202312531,1253,63,10
202312531,1253,18,11
202312531,1253,20,12
202312531,1253,23,13
202312531,1253,31,14
202312531,1253,4,15
202312531,1253,44,16
202312531,1253,7,17
202312531,1253,30,18
202312531,1253,27,19
202312531,1253,87,20
